koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
7.82502168,0,0.708,2.186,520.8,0.022312,2.54508,1.2,0.0614,87.99,494,14.05,20.2,3950,4.754,-0.46,0.493,0.502,CONFIRMED
3.895936525,0,0.524,2.3111,8544.8,0.08689,2.31292,7.34,0.046,87.56,1005,241.62,12.29,5557,4.592,-0.3,0.774,0.866,CONFIRMED
22.36646466,0,0.4,5.228,986.8,0.028938,1.12517,2.32,0.1449,89.26,536,19.45,31,5395,4.615,-0.34,0.734,0.821,CONFIRMED
1.625522174,0,0.076,2.38963,7969,0.080543,1.28198,9.73,0.0265,89.22,1579,1467.41,5.6364,5539,4.322,0.16,1.106,0.935,CONFIRMED
19.620346923,0,0.458,2.0038,21725,0.137595,23.21659,13.6,0.1389,89.66,643,40.39,77.9,5710,4.492,-0.1,0.905,0.928,CANDIDATE
7.544039,0,1.175,6.222,322.6,0.194187,0.00393,17.47,0.0731,58.94,838,116.46,2.28,5657,4.567,-0.18,0.824,0.919,FALSE POSITIVE
9.02930689,0,0.024,3.1449,1019.8,0.028718,2.66613,2.57,0.0796,89.94,757,77.75,22.57,5349,4.526,-0.12,0.82,0.824,CANDIDATE
10.328035714,0,0.281,7.7915,16918,0.118805,0.23528,13.28,0.0888,88.54,843,119.31,10.988,5627,4.359,-0.1,1.024,0.874,FALSE POSITIVE
143.2063047,0,0.379,8.9302,10566,0.094044,1.83449,8.9,0.5336,89.83,308,2.14,125.8,5485,4.556,0.21,0.867,0.986,CONFIRMED
6.164876,0,0.646,3.262,55.8,0.007192,0.69664,0.79,0.0648,86.69,1021,256.35,11.19,5854,4.406,-0.12,1.012,0.951,CONFIRMED
60.32494216,0,0.224,6.6188,20280,0.128744,2.37656,12.19,0.2998,89.83,411,6.77,77.04,5485,4.556,0.21,0.867,0.986,CONFIRMED
29.1598615,0,0.3619,4.803,488,0.02018,1.92739,1.91,0.1847,89.38,524,17.85,44.2,5485,4.556,0.21,0.867,0.986,CONFIRMED
1.540397253,0,1.225,2.1541,816.1,0.257087,0.06102,25.69,0.0264,51.56,1470,1105.68,1.971,5663,4.53,0.21,0.915,1.034,FALSE POSITIVE
2.99025443,0,0.014,5.414,589.2,0.021279,0.17407,1.7,0.0367,89.81,918,168.45,4.349,4667,4.578,0.1,0.731,0.737,FALSE POSITIVE
1.594745374,0,0.514,1.9604,15044,0.115879,1.77544,11.3,0.0258,85.25,1539,1329.42,6.203,5934,4.491,-0.38,0.893,0.901,CONFIRMED
4.783002698,0,0.003,2.335,1008.7,0.028315,3.45234,2.5,0.0535,89.99,886,145.48,16.102,5170,4.574,0.18,0.807,0.891,CANDIDATE
20.50588921,0,0.26,4.0595,2105.5,0.041039,2.64998,3.41,0.1326,89.62,518,17.06,38.91,4905,4.544,-0.04,0.761,0.739,CONFIRMED
3.340218842,0,0.466,1.9104,1632.6,0.037683,3.23586,2.03,0.0348,87.85,656,43.73,12.4,3950,4.754,-0.46,0.493,0.502,CONFIRMED
2.507089906,0,1.255,2.0067,1339.2,0.295115,0.11003,30.26,0.0365,67.79,1326,730.47,3.32,5926,4.506,-0.04,0.939,1.03,FALSE POSITIVE
18.64932728,0,0.08,4.4056,893.6,0.027096,1.97596,3.12,0.139,89.86,701,57.13,33.12,5775,4.405,0.16,1.053,1.026,CONFIRMED
4.90144976,0,0.529,4.1654,140.7,0.011136,0.3709,1.7,0.0586,86.1,1262,598.74,7.78,5847,4.191,0.26,1.402,1.113,CONFIRMED
