ra,dec,signal.noise,mag.u,mag.g,mag.r,mag.i,mag.z,log.g,metallicity,temperature,velocity.los
260.265375,57.6650555555556,3.8,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,2.1,-2.38,4771,-288.1
260.265375,57.6650555555556,3.7,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,2.1,-2.22,4918,-291
260.265375,57.6650555555556,2.7,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,2.8,-1.64,5035,-289.6
260.265375,57.6650555555556,2.7,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,1.8,-1.11,5699,-290.6
260.250708333333,57.7771388888889,5.4,20.9377765655518,19.2273597717285,18.500524520874,18.1852760314941,18.0100078582764,1.6,-2.37,4487,-304.9
260.250708333333,57.7771388888889,6.2,20.9377765655518,19.2273597717285,18.500524520874,18.1852760314941,18.0100078582764,1.4,-2.19,4679,-304.5
260.175416666667,57.8248611111111,3.8,21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383,1.3,-1.82,4801,-305.5
260.175416666667,57.8248611111111,5.5,21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383,1.1,-1.79,4851,-305.6
260.175416666667,57.8248611111111,2.8,21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383,1.3,-1.75,4719,-305.4
260.175416666667,57.8248611111111,6,21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383,1.5,-1.86,5072,-306.2
260.628333333333,57.5961666666667,2.8,21.5275840759277,20.2545509338379,19.6528282165527,19.3832378387451,19.2333393096924,2.2,-2.5,4796,-304.4
260.531416666667,57.7310833333333,2.7,21.5437049865723,20.0850067138672,19.4526672363281,19.2046718597412,19.029224395752,4.8,-0.74,5066,-19.7
260.414041666667,57.7778055555556,10.1,20.4430751800537,18.4381675720215,17.5887126922607,17.198148727417,16.9986057281494,1.1,-2.04,4600,-307.1
260.515,57.752,5,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1.4,-1.75,4870,-286.5
260.515,57.752,4.3,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1.8,-2.09,4676,-286.4
260.515,57.752,6.3,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1.3,-2.1,4668,-287.1
260.515,57.752,8.2,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1.2,-2.13,4673,-286.5
260.515,57.752,8.1,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1.2,-1.92,4887,-286.6
260.515,57.752,7.2,20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715,1,-1.78,4805,-286.9
260.180708333333,57.8452222222222,7.8,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,3.4,-1.79,6865,-296.8
260.180708333333,57.8452222222222,0.8,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.6,-0.1,4856,-299.9
260.180708333333,57.8452222222222,4.6,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.1,-1.72,4817,-299.1
260.180708333333,57.8452222222222,8.8,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.6,-1.75,4904,-298
260.180708333333,57.8452222222222,9.1,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.9,-1.54,5082,-298.3
260.180708333333,57.8452222222222,7.3,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.3,-1.63,5016,-298.4
260.180708333333,57.8452222222222,9.1,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.9,-1.39,5149,-298.2
260.180708333333,57.8452222222222,5.8,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.3,-1.49,5059,-298.6
260.180708333333,57.8452222222222,6.1,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.2,-1.78,4725,-298.8
260.180708333333,57.8452222222222,6.4,20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658,1.4,-1.63,4958,-298.7
260.873458333333,57.6553333333333,9.5,19.1108589172363,17.673376083374,17.050142288208,16.8089790344238,16.6605396270752,2.7,-1.27,5302,-201.8
260.873458333333,57.6553333333333,17.6,19.1108589172363,17.673376083374,17.050142288208,16.8089790344238,16.6605396270752,2.5,-1.22,5062,-193.8
260.781458333333,57.5741944444444,4.7,20.016975402832,18.5852718353271,18.0252494812012,17.8004360198975,17.7117938995361,4.4,-0.74,5463,-69
260.781458333333,57.5741944444444,6.6,20.016975402832,18.5852718353271,18.0252494812012,17.8004360198975,17.7117938995361,4.2,-0.07,5329,-60.3
260.774541666667,57.7314166666667,3.5,20.5807552337646,19.3123378753662,18.7478504180908,18.5276489257813,18.3631286621094,2.9,-1.53,5775,-278.4
260.376166666667,57.8378611111111,11.7,20.2684917449951,18.0684070587158,17.1312160491943,16.6994819641113,16.4546051025391,2.9,-2.27,5348,-300.5
260.376166666667,57.8378611111111,9.2,20.2684917449951,18.0684070587158,17.1312160491943,16.6994819641113,16.4546051025391,1.3,-2.15,4736,-302.2
260.418166666667,57.7922222222222,12.3,20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125,1.5,-2.97,4535,-288.3
260.418166666667,57.7922222222222,13.2,20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125,0.8,-2.07,4456,-282
260.418166666667,57.7922222222222,22,20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125,0.9,-2.09,4522,-279.1
260.418166666667,57.7922222222222,21.2,20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125,0.8,-2.04,4556,-279.9
260.864375,57.8669444444444,13.2,18.5616970062256,17.1583728790283,16.5925979614258,16.3727378845215,16.289514541626,5.3,-0.8,5816,-44.3
260.268458333333,57.8966111111111,6.3,21.0531673431396,19.4989051818848,18.8168964385986,18.4734401702881,18.3423194885254,1.1,-1.94,4776,-294.6
260.929541666667,57.9315,6.1,19.7451686859131,17.9441394805908,17.2530670166016,17.003210067749,16.8782634735107,3.6,-0.52,5266,-235.3
260.894791666667,57.9629722222222,0.8,20.9391040802002,19.3392601013184,18.7155685424805,18.4723606109619,18.3215484619141,2.7,-1.16,4589,-119.6
260.397458333333,57.9164444444444,2.9,21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543,1,-1.19,5233,-308.8
260.397458333333,57.9164444444444,3.9,21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543,1.6,-1.22,5547,-307.9
260.397458333333,57.9164444444444,7.1,21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543,2,-1.99,5114,-303.2
260.525291666667,58.0032777777778,3.8,20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535,1.3,-2.18,5063,-287
260.525291666667,58.0032777777778,4.3,20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535,1.4,-2.35,4848,-284.4
260.525291666667,58.0032777777778,5.7,20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535,2,-2.69,4999,-284.4
260.525291666667,58.0032777777778,5.7,20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535,1.6,-2.71,4662,-287.2
260.525291666667,58.0032777777778,5.1,20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535,1.4,-2.41,4975,-285.6
260.424166666667,57.93075,3.5,21.1638736724854,19.5067596435547,18.8471393585205,18.5137805938721,18.4556159973145,1.1,-2.2,4561,-294.4
260.424166666667,57.93075,5.1,21.1638736724854,19.5067596435547,18.8471393585205,18.5137805938721,18.4556159973145,1.2,-2.02,4751,-295.5
260.77775,58.1701111111111,2.2,20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922,5.1,-2.49,4776,-314.6
260.77775,58.1701111111111,6.2,20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922,4.5,-2.7,4668,-315.2
260.77775,58.1701111111111,5.8,20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922,4.8,-1.75,4998,-315.3
260.77775,58.1701111111111,5.8,20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922,5.2,-1.73,4990,-316.1
260.77775,58.1701111111111,4.6,20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922,4.7,-2.18,4648,-314.6
260.407375,58.0145,2.5,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.4,-2.38,4745,-277.8
260.407375,58.0145,4.2,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.1,-2.31,4717,-277.2
260.407375,58.0145,5.4,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,3.2,-1.61,6485,-277.2
260.407375,58.0145,6.1,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.6,-2.46,4698,-278.1
260.407375,58.0145,5.9,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.6,-2.5,4661,-277.7
260.407375,58.0145,5.8,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.2,-2.2,4933,-276.2
260.407375,58.0145,7.6,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.2,-2.65,4588,-278
260.407375,58.0145,4.6,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.7,-2.5,4666,-278.1
260.407375,58.0145,5.4,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.3,-2.16,4839,-279.2
260.407375,58.0145,4.2,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,3.7,-1.81,5411,-278.3
260.407375,58.0145,3.9,20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516,1.5,-2.58,4511,-278.8
260.186375,57.9165,2.3,21.4312438964844,19.6477890014648,18.9697875976563,18.6206512451172,18.4572811126709,1,-1.29,4672,-285.3
260.186375,57.9165,5.1,21.4312438964844,19.6477890014648,18.9697875976563,18.6206512451172,18.4572811126709,1.5,-1.47,4948,-291.2
260.35275,58.0966944444444,2.5,21.5206661224365,20.3239326477051,19.7277507781982,19.4666481018066,19.4333171844482,1.7,-2.33,5013,-295.6
260.35275,58.0966944444444,2.2,21.5206661224365,20.3239326477051,19.7277507781982,19.4666481018066,19.4333171844482,1.8,-2.35,4687,-297.8
260.303291666667,58.0780555555556,1,21.3164005279541,19.9038791656494,19.2100563049316,18.9580898284912,18.7862358093262,1.3,-0.89,4769,-290.4
260.303291666667,58.0780555555556,4,21.3164005279541,19.9038791656494,19.2100563049316,18.9580898284912,18.7862358093262,1.3,-2.29,4664,-289.5
260.255333333333,57.9620555555556,5,21.0988388061523,19.2704010009766,18.5199069976807,18.1801280975342,17.9803676605225,1.4,-1.63,4745,-295
260.23575,58.0430833333333,2.1,21.1444644927979,19.5596160888672,18.8814544677734,18.5410804748535,18.411205291748,1.4,-1.67,4651,-283.6
