ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
340.879166666667,-39.5177777777778,2.2472e-10,10.3754,PowerLaw,1028.1,2.9672e-12,2.9459e-13,2.3993,3.3136e-13,2.3085,0.1104,3.2127e-13,2.1011,0.00264,0.6667,1.52,584.04,18.3346,0.4564,NOT_BLL
29.6458333333333,-39.5358333333333,7.2953e-10,26.3359,PowerLaw,1383.96,8.1145e-12,4.0597e-13,2.0907,4.4174e-13,2.0373,0.0599,4.2479e-13,1.9632,0.00077,0.6667,1.85,1152.88,47.384811,0.4017,BLL
193.398333333333,-39.5669444444444,9.7802e-11,6.0667,PowerLaw,9528.9,1.3753e-12,1.5991e-15,1.6649,2.8246e-15,1.3582,0.4728,2.7846e-15,0.0028,0.00394,0.6667,2.9,81.17,16.460188,0.6117,BLL
325.792916666667,-39.4883333333333,4.7464e-10,15.0629,PowerLaw,1680.19,5.3227e-12,1.7907e-13,2.1389,1.7748e-13,2.1449,-0.0059,1.7875e-13,2.1464,-3e-05,0.6667,0.1,752.94,48.393875,0.65,BLL
180.852083333333,-39.4258333333333,3.24e-10,13.2375,PowerLaw,5336.19,3.9819e-12,1.2997e-14,1.8075,1.3187e-14,1.8026,0.0063,1.3297e-14,1.7622,1e-04,0.6667,0.42,314.61,9.586745,0.1159,BLL
339.26875,-39.3569444444444,3.6919e-10,16.1871,PowerLaw,949.9,4.7885e-12,5.7682e-13,2.3805,6.32e-13,2.3236,0.0839,6.126e-13,2.1777,0.00192,0.6667,1.6,918.77,182.838593,1.4526,NOT_BLL
155.189166666667,-39.3341666666667,1.7464e-10,6.6353,PowerLaw,3624.28,1.959e-12,1.35e-14,1.9835,1.59e-14,1.8854,0.1166,1.5421e-14,1.6028,0.00138,0.6667,1.41,210.85,9.326317,0.1905,NOT_BLL
20.4704166666667,-39.2683333333333,2.3131e-10,12.0952,PowerLaw,3096.78,2.6821e-12,2.4699e-14,1.8975,2.8402e-14,1.8209,0.0841,2.7366e-14,1.6474,0.00091,0.6667,1.58,273.04,12.879001,0.2911,BLL
358.465833333333,-39.1977777777778,1.4857e-10,6.4289,PowerLaw,1597.19,1.738e-12,6.4799e-14,2.2431,7.3779e-14,2.1172,0.1525,7.2464e-14,1.7629,0.0034,0.6667,1.37,294.4,10.451269,0,NOT_BLL
105.82375,-39.2477777777778,5.8616e-10,17.0583,PowerLaw,1989.82,6.5354e-12,1.5324e-13,2.11,1.6825e-13,2.0607,0.0643,1.6058e-13,1.9814,0.00062,0.6667,1.37,818.38,11.185576,0.1671,BLL
84.5745833333333,-39.1697222222222,1.7813e-10,8.4586,PowerLaw,3147.31,2.0094e-12,1.828e-14,1.9637,2.0355e-14,1.8953,0.0665,1.9308e-14,1.8192,0.00046,0.6667,0.79,222.8,31.06435,1.0261,BLL
220.990833333333,-39.1480555555556,3.8605e-09,71.1606,LogParabola,1978.05,4.0835e-11,8.9249e-13,1.8306,9.6115e-13,1.7352,0.0562,9.2443e-13,1.6834,0.00051,0.6667,4.46,3128.13,31.613285,0.1381,BLL
205.4325,-39.1222222222222,8.1595e-11,4.2051,PowerLaw,7788.47,1.0234e-12,1.691e-15,1.7823,2.0427e-15,1.539,0.161,1.9605e-15,1.2682,0.00095,0.6667,1,75.88,11.099402,0,NOT_BLL
39.53,-39.0875,3.5156e-10,16.1593,PowerLaw,2222.66,3.9371e-12,7.1758e-14,1.9903,7.7423e-14,1.9286,0.052,7.6634e-14,1.8029,0.00079,0.6667,1.52,476.81,29.31189,0.5082,BLL
101.678333333333,-39.2177777777778,1.2268e-10,7.0019,PowerLaw,283.55,3.8203e-12,1.0473e-11,2.9849,1.1118e-11,2.9333,0.0615,1.1016e-11,2.7833,0.00423,0.6667,0.79,861.29,24.365273,0.4793,NOT_BLL
117.267083333333,-39.0708333333333,2.7194e-10,5.4774,PowerLaw,3041.18,3.0871e-12,2.8529e-14,2.1786,3.1931e-14,2.1368,0.073,3.1284e-14,1.9384,0.00101,0.6667,0.99,328.92,5.662397,0,NOT_BLL
66.8258333333333,-39.0097222222222,6.3519e-10,21.779,PowerLaw,504.79,1.5482e-11,8.1838e-12,2.8442,8.249e-12,2.8431,0.0061,8.2883e-12,2.8105,0.00055,0.6667,0.42,3080.74,51.091747,0.2544,NOT_BLL
31.8558333333333,-38.9252777777778,2.0828e-10,9.5419,PowerLaw,900.26,2.7299e-12,3.7315e-13,2.3917,4.2445e-13,2.3186,0.1188,4.005e-13,2.1808,0.00222,0.6667,0.96,550.33,6.105341,0,NOT_BLL
