ra,dec,redshift,umag,gmag,rmag,imag,zmag,nmag,gal_abs_u,log_nh_gal
6.1898625,-9.958125,1.5125,20.715,20.239,19.645,19.181,19.057,22.49,0.23,20.507
2.64422916666667,-9.95661111111111,2.0294,19.269,19.01,18.993,19.005,18.899,20.761,0.189,20.483
9.30002083333333,-9.935275,0.4075,20.452,20.101,19.714,19.258,19.003,20.249,0.167,20.433
358.299445833333,-9.93456111111111,0.3927,19.18,18.855,18.831,18.779,18.411,19.467,0.193,20.438
26.1264625,-9.92940277777778,1.4739,20.708,19.95,19.414,18.907,18.649,22.436,0.139,20.422
8.87833333333333,-9.92854166666667,0.7148,19.482,19.143,18.832,18.76,18.747,20.413,0.177,20.433
343.1127125,-9.927575,1.2148,19.387,19.207,18.948,18.867,18.893,20.641,0.246,20.574
28.7209875,-9.92649722222222,1.2881,18.273,18.241,17.824,17.845,17.916,19.26,0.119,20.34
28.529925,-9.92440555555556,2.0149,18.907,18.907,18.771,18.653,18.487,20.339,0.106,20.35
8.8521625,-9.91775277777778,0.6306,19.931,19.496,19.389,19.261,19.328,20.339,0.177,20.435
2.63892083333333,-9.91478888888889,1.55,19.385,19.183,19.144,18.948,18.97,20.252,0.19,20.484
2.08252916666667,-9.90840277777778,1.4579,19.656,19.519,19.394,19.27,19.347,20.594,0.22,20.48
10.1287,-9.89980555555556,0.4313,18.404,18.049,17.933,17.811,17.666,18.575,0.171,20.43
340.566566666667,-9.88645277777778,1.6802,19.675,19.316,19.033,18.653,18.577,20.479,0.287,20.673
25.6158375,-9.88129722222222,1.5531,19.599,19.463,19.305,19.133,19.053,20.374,0.138,20.435
2.1073,-9.86196388888889,0.5536,19.478,19.108,19.228,18.992,19.027,20.284,0.227,20.481
10.134875,-9.8583,1.2857,19.573,19.413,19.105,19.073,19.162,19.715,0.175,20.433
9.84303333333333,-9.84760277777778,1.8811,19.133,18.835,18.715,18.458,18.373,22.513,0.16,20.433
359.711920833333,-9.80906666666667,0.799,19.751,19.355,19.204,19.153,18.969,19.878,0.182,20.446
30.4688875,-9.79261111111111,4.0389,23.995,21.871,20.154,20.094,20.282,24.401,0.114,20.32
339.461875,-9.79170833333333,0.3625,18.987,18.835,18.547,18.395,17.885,19.4,0.347,20.688
9.67776666666667,-9.78688333333333,1.9892,17.68,17.535,17.371,17.256,17.131,18.622,0.188,20.436
0.496341666666667,-9.78682777777778,2.3084,19.835,19.323,19.275,19.167,18.904,20.818,0.21,20.462
359.709008333333,-9.78671388888889,0.9288,19.097,19.006,18.885,18.899,18.737,19.798,0.179,20.446
4.15919583333333,-9.78295833333333,0.7843,18.603,18.372,18.297,18.382,18.339,18.941,0.221,20.5
9.61705,-9.77945,1.5796,20.106,19.676,19.484,19.196,19.232,21.157,0.18,20.436
340.571595833333,-9.77918611111111,1.8574,18.771,18.577,18.478,18.255,18.164,20.397,0.271,20.667
13.5352583333333,-9.77731388888889,2.1282,18.392,18.024,17.786,17.574,17.34,22.617,0.199,20.565
9.52827083333333,-9.77635833333333,0.6456,19.038,18.696,18.653,18.577,18.656,19.148,0.165,20.438
339.3075,-9.77204166666667,0.5128,19.978,19.544,19.589,19.14,18.948,19.659,0.342,20.688
