u.mag,g.mag,r.mag,i.mag,z.mag,redshift,redshift.err,class
21.09473,19.43908,19.07165,18.96929,18.88174,3.287047,0.000330927,QSO
20.41152,19.407,18.96758,18.57336,18.18133,2.830052,0.0002439969,QSO
19.96174,19.38339,19.25536,19.25713,19.12411,2.634363,0.0008552189,QSO
20.64398,20.37167,20.36021,20.33439,20.09186,2.22565,0.001075785,QSO
20.79388,20.25636,20.25742,20.21121,19.91824,2.426682,0.0009110306,QSO
24.67443,18.65183,18.24694,18.06566,17.99664,3.352543,0.0003681497,QSO
20.2957,19.19759,18.98834,18.69637,18.25683,2.306195,0.000236811,QSO
20.39219,18.64347,18.39246,18.22514,18.01232,3.004218,0.0002521168,QSO
19.82438,19.27708,19.10955,19.04687,18.89223,2.223259,0.0005656665,QSO
19.83276,19.26878,19.10696,19.05191,18.89202,2.541528,0.0005846435,QSO
19.78277,19.24599,19.0804,19.05328,18.79763,2.284681,0.000543052,QSO
17.91627,17.39991,17.22419,17.17938,17.06361,2.348147,0.000306607,QSO
21.05732,19.70518,19.48442,19.46035,19.44102,2.945697,0.0006102495,QSO
18.84565,18.27192,18.22709,18.17978,17.94279,2.400501,0.0003069972,QSO
22.16414,20.28569,19.99252,20.04553,19.95487,2.964394,0.000563704,QSO
25.95607,19.67539,19.87301,19.75682,19.3651,2.319338,0.0003531745,QSO
21.97414,21.22651,20.21656,19.63699,19.14247,2.271473,0.0004475012,QSO
19.16257,18.68176,18.54206,18.58985,18.53089,2.413038,0.0004109395,QSO
19.62238,18.26718,18.11639,18.12608,18.11273,3.169845,0.0001511443,QSO
21.48693,20.63679,19.95861,19.77536,19.41022,2.37792,0.0007359071,QSO
21.69662,20.421,20.19567,20.3231,20.17546,3.050657,0.0004364781,QSO
20.92388,20.38656,20.41951,20.50416,20.32156,2.335031,0.0005617372,QSO
21.02026,19.91188,19.3953,19.12008,18.74687,2.39658,0.0003418257,QSO
20.63728,19.50054,19.09845,18.85899,18.44331,2.562012,0.0002692406,QSO
20.70344,18.5978,18.27992,18.10915,18.07825,3.196486,0.0002412739,QSO
21.65934,19.67243,19.46323,19.38545,19.2028,3.272211,0.0005281825,QSO
18.67006,18.20747,17.85325,17.70906,17.50106,2.280755,0.0005010906,QSO
19.80119,19.29248,19.15177,19.18932,18.99551,2.386942,0.0007483741,QSO
22.24319,20.56435,20.35871,20.56089,20.23351,3.144873,0.0002311024,QSO
21.92921,20.42933,20.32222,20.33218,20.13144,3.003022,0.0005655328,QSO
20.34364,19.64283,19.70861,19.5907,19.28656,2.298521,0.000251962,QSO
20.05923,19.51883,19.32886,19.23549,19.00167,2.625241,0.00064809,QSO
19.64227,19.20457,19.16301,19.14229,19.12406,2.338364,0.0004067518,QSO
22.27655,20.86651,20.42295,19.98167,19.63735,2.62293,0.0006796143,QSO
19.67318,19.28947,19.21789,19.19627,19.04651,2.250514,0.0004289751,QSO
21.52698,19.36722,19.01588,18.83118,18.89609,3.255883,0.0003995002,QSO
18.7878,18.27613,18.15324,18.00551,17.76013,2.225974,0.0002518726,QSO
21.12322,19.24222,18.38855,17.7764,17.29546,2.404754,0.0003564496,QSO
25.42554,20.85231,19.91901,19.66933,19.61075,3.479049,0.0005948508,QSO
23.29511,21.32812,20.43274,20.17379,19.92015,3.053274,0.000564802,QSO
20.66985,20.01612,19.8225,19.66278,19.43338,2.298651,0.001045919,QSO
22.1664,20.93532,20.6406,20.49381,20.10765,2.728314,0.001230125,QSO
20.22245,19.88863,19.80193,19.61993,19.28712,2.205361,0.0003844683,QSO
